,Number,Title,Author,Fiction/Non,Date Read,Topic,Pages,Score,ISBN13,Goodreads ID,Description,Rating,Num Ratings,Publication Date,Shelves
51,52,War,Sebastian Jugner,Non,September 2017,Psychology,304,6,9780446556248,7519640.0,"In his breakout bestseller, <i>The Perfect Storm,</i> Sebastian Junger created ""a wild ride that brilliantly captures the awesome power of the raging sea and the often futile attempts of humans to withstand it"" (<i>Los Angeles Times</i> Book Review).<br /><br /> Now, Junger turns his brilliant and empathetic eye to the reality of combat--the fear, the honor, and the trust among men in an extreme situation whose survival depends on their absolute commitment to one another. His on-the-ground account follows a single platoon through a 15-month tour of duty in the most dangerous outpost in Afghanistan's Korengal Valley. Through the experiences of these young men at war, he shows what it means to fight, to serve, and to face down mortal danger on a daily basis.",4.23,16760.0,2010-05-11,
52,53,The Men Who Stare At Goats,Jon Ronson,Non,September 2017,Politics,259,8,9780743270601,1824.0,"From the bestselling author of <i>The Psychopath Test: A Journey Through the Madness Industry</i> and <i>So You've Been Publicly Shamed</i>.<br /><br />In 1979 a secret unit was established by the most gifted minds within the U.S. Army. Defying all known accepted military practice -- and indeed, the laws of physics -- they believed that a soldier could adopt a cloak of invisibility, pass cleanly through walls, and, perhaps most chillingly, kill goats just by staring at them.<br /><br /> Entrusted with defending America from all known adversaries, they were the First Earth Battalion. And they really weren't joking. What's more, they're back and fighting the War on Terror.<br /><br /> With firsthand access to the leading players in the story, Ronson traces the evolution of these bizarre activities over the past three decades and shows how they are alive today within the U.S. Department of Homeland Security and in postwar Iraq. Why are they blasting Iraqi prisoners of war with the theme tune to Barney the Purple Dinosaur? Why have 100 debleated goats been secretly placed inside the Special Forces Command Center at Fort Bragg, North Carolina? How was the U.S. military associated with the mysterious mass suicide of a strange cult from San Diego? <i>The Men Who Stare at Goats</i> answers these and many more questions.",3.61,10941.0,2006-04-10,
53,54,Red Notice,Bill Browder,Non,October 2017,Politics,380,9,9781476755717,22609522.0,"A real-life political thriller about an American financier in the Wild East of Russia, the murder of his principled young tax attorney, and his dangerous mission to expose the Kremlin's corruption.<br /><br />Bill Browder's journey started on the South Side of Chicago and moved through Stanford Business School to the dog-eat-dog world of hedge fund investing in the 1990s. It continued in Moscow, where Browder made his fortune heading the largest investment fund in Russia after the Soviet Union's collapse. But when he exposed the corrupt oligarchs who were robbing the companies in which he was investing, Vladimir Putin turned on him and, in 2005, had him expelled from Russia. <br /><br />In 2007, a group of law enforcement officers raided Browder's offices in Moscow and stole $230 million of taxes that his fund's companies had paid to the Russian government. Browder's attorney Sergei Magnitsky investigated the incident and uncovered a sprawling criminal enterprise. A month after Sergei testified against the officials involved, he was arrested and thrown into pre-trial detention, where he was tortured for a year. On November 16, 2009, he was led to an isolation chamber, handcuffed to a bedrail, and beaten to death by eight guards in full riot gear. <br /><br />Browder glimpsed the heart of darkness, and it transformed his life: he embarked on an unrelenting quest for justice in Sergei's name, exposing the towering cover-up that leads right up to Putin. A financial caper, a crime thriller, and a political crusade, <i>Red Notice</i> is the story of one man taking on overpowering odds to change the world.",4.41,32037.0,2015-02-03,
54,55,The Road,Cormac McCarthy,Fic,October 2017,Fiction,241,10,9780307265432,6288.0,"A searing, postapocalyptic novel destined to become Cormac McCarthy’s masterpiece.<br /><br />A father and his son walk alone through burned America. Nothing moves in the ravaged landscape save the ash on the wind. It is cold enough to crack stones, and when the snow falls it is gray. The sky is dark. Their destination is the coast, although they don’t know what, if anything, awaits them there. They have nothing; just a pistol to defend themselves against the lawless bands that stalk the road, the clothes they are wearing, a cart of scavenged food—and each other.<br /><br />The Road is the profoundly moving story of a journey. It boldly imagines a future in which no hope remains, but in which the father and his son, “each the other’s world entire,” are sustained by love. Awesome in the totality of its vision, it is an unflinching meditation on the worst and the best that we are capable of: ultimate destructiveness, desperate tenacity, and the tenderness that keeps two people alive in the face of total devastation.<br />(front flap)",3.97,615562.0,2006-10-02,
55,56,The Art of War,Sun Tzu,Non,October 2017,Politics,273,5,9781590302255,10534.0,"Twenty-Five Hundred years ago, Sun Tzu wrote this classic book of military strategy based on Chinese warfare and military thought. Since that time, all levels of military have used the teaching on Sun Tzu to warfare and civilization have adapted these teachings for use in politics, business and everyday life. The Art of War is a book which should be used to gain advantage of opponents in the boardroom and battlefield alike.",3.97,242762.0,2005-01-11,
56,57,The Unwinding,George Packer,Non,October 2017,Politics,448,7,9781466836952,17139513.0,"A riveting examination of a nation in crisis, from one of the finest political journalists of our generation<br /><br />American democracy is beset by a sense of crisis. Seismic shifts during a single generation have created a country of winners and losers, allowing unprecedented freedom while rending the social contract, driving the political system to the verge of breakdown, and setting citizens adrift to find new paths forward. In <i>The Unwinding</i>, George Packer, author of <i>The Assassins' Gate: America in Iraq</i>, tells the story of the United States over the past three decades in an utterly original way, with his characteristically sharp eye for detail and gift for weaving together complex narratives.<br /><br /><i>The Unwinding </i>journeys through the lives of several Americans, including Dean Price, the son of tobacco farmers, who becomes an evangelist for a new economy in the rural South; Tammy Thomas, a factory worker in the Rust Belt trying to survive the collapse of her city; Jeff Connaughton, a Washington insider oscillating between political idealism and the lure of organized money; and Peter Thiel, a Silicon Valley billionaire who questions the Internet's significance and arrives at a radical vision of the future. Packer interweaves these intimate stories with biographical sketches of the era's leading public figures, from Newt Gingrich to Jay-Z, and collages made from newspaper headlines, advertising slogans, and song lyrics that capture the flow of events and their undercurrents.<br /><br /><i>The Unwinding </i>portrays a superpower in danger of coming apart at the seams, its elites no longer elite, its institutions no longer working, its ordinary people left to improvise their own schemes for success and salvation. Packer's novelistic and kaleidoscopic history of the new America is his most ambitious work to date.<br /><br /><b>One of the iTunes Bookstore's ""Ten Books You Must Read This Summer""</b>",4.12,8203.0,2013-05-21,
57,58,The Brothers Karamazov,Fyodor Dostoyevsky,Fic,October 2017,Fiction,796,,9780374528379,4934.0,"The Brothers Karamasov is a murder mystery, a courtroom drama, and an exploration of erotic rivalry in a series of triangular love affairs involving the “wicked and sentimental” Fyodor Pavlovich Karamazov and his three sons―the impulsive and sensual Dmitri; the coldly rational Ivan; and the healthy, red-cheeked young novice Alyosha. Through the gripping events of their story, Dostoevsky portrays the whole of Russian life, is social and spiritual striving, in what was both the golden age and a tragic turning point in Russian culture.<br /><br />This award-winning translation by Richard Pevear and Larissa Volokhonsky remains true to the verbal<br />inventiveness of Dostoevsky’s prose, preserving the multiple voices, the humor, and the surprising modernity of the original. It is an achievement worthy of Dostoevsky’s last and greatest novel.",4.32,194891.0,2002-06-14,
58,59,Clean Energy Fuels,Dele Morakinyo,Non,October 2017,Science,568,4,9780262536165,39644271.0,"<b>A comprehensive account of how energy has shaped society throughout history, from pre-agricultural foraging societies through today's fossil fuel-driven civilization.</b><br /><br />I wait for new Smil books the way some people wait for the next 'Star Wars' movie. In his latest book, <i>Energy and Civilization: A History</i>, he goes deep and broad to explain how innovations in humans' ability to turn energy into heat, light, and motion have been a driving force behind our cultural and economic progress over the past 10,000 years.<br /><b>--Bill Gates, </b><b>
  <i>Gates Notes</i>
</b><b>, Best Books of the Year</b><br /><br /><br />Energy is the only universal currency; it is necessary for getting anything done. The conversion of energy on Earth ranges from terra-forming forces of plate tectonics to cumulative erosive effects of raindrops. Life on Earth depends on the photosynthetic conversion of solar energy into plant biomass. Humans have come to rely on many more energy flows--ranging from fossil fuels to photovoltaic generation of electricity--for their civilized existence. In this monumental history, Vaclav Smil provides a comprehensive account of how energy has shaped society, from pre-agricultural foraging societies through today's fossil fuel-driven civilization.<br /><br />Humans are the only species that can systematically harness energies outside their bodies, using the power of their intellect and an enormous variety of artifacts--from the simplest tools to internal combustion engines and nuclear reactors. The epochal transition to fossil fuels affected everything: agriculture, industry, transportation, weapons, communication, economics, urbanization, quality of life, politics, and the environment. Smil describes humanity's energy eras in panoramic and interdisciplinary fashion, offering readers a magisterial overview. This book is an extensively updated and expanded version of Smil's <i>Energy in World History</i> (1994). Smil has incorporated an enormous amount of new material, reflecting the dramatic developments in energy studies over the last two decades and his own research over that time.",4.12,32.0,2018-11-13,
59,60,The Stand,Stephen King,Fic,October 2017,Fiction,1153,7,9780385199575,149267.0,This is the way the world ends: with a nanosecond of computer error in a Defense Department laboratory and a million casual contacts that form the links in a chain letter of death. And here is the bleak new world of the day after: a world stripped of its institutions and emptied of 99 percent of its people. A world in which a handful of panicky survivors choose sides -- or are chosen.,4.34,537653.0,1990-05-01,
60,61,The Stranger,Albert Camus,Fic,November 2017,Fiction,184,8,9782070360024,15688.0,"«Quand la sonnerie a encore retenti, que la porte du box s'est ouverte, c'est le silence de la salle qui est monté vers moi, le silence, et cette singulière sensation que j'ai eue lorsque j'ai constaté que le jeune journaliste avait détourné les yeux. Je n'ai pas regardé du côté de Marie. Je n'en ai pas eu le temps parce que le président m'a dit dans une forme bizarre que j'aurais la tête tranchée sur une place publique au nom du peuple français.»<br /><br /><i>L'étranger</i> est le premier roman d'Albert Camus, Prix Nobel de littérature en 1957.",3.98,14184.0,2000-03-02,
61,62,"Will You Be Please Be Quiet, Please?",Raymond Carver,Fic,November 2017,Fiction,181,10,9780099449898,11446.0,"With this, his first collection, Carver breathed new life into the short story. In the pared-down style that has since become his hallmark, Carver showed us how humour and tragedy dwelt in the hearts of ordinary people, and won a readership that grew with every subsequent brilliant collection of stories, poems and essays that appeared in the last eleven years of his life.",4.25,10356.0,,
62,63,2666,Roberto Bolano,Fic,November 2017,Fiction,1126,6,9788433968678,63032.0,"<p>A cuatro profesores de literatura, Pelletier, Morini, Espinoza y Norton, los une su fascinación por la obra de Beno von Archimboldi, un enigmático escritor alemán cuyo prestigio crece en todo el mundo. La complicidad se vuelve vodevil intelectual y desemboca en un peregrinaje a Santa Teresa (trasunto de Ciudad Juárez), donde hay quien dice que Archimboldi ha sido visto. Ya allí, Pelletier y Espinoza se enteran de que la ciudad es desde años atrás escenario de una larga cadena de crímenes: en los vertederos aparecen cadáveres de mujeres con señales de haber sido violadas y torturadas. Es el primer asomo de la novela a sus procelosos caudales, repletos de personajes memorables cuyas historias, a caballo entre la risa y el horror, abarcan dos continentes e incluyen un vertiginoso travelling por la historia europea del siglo XX. 2666 confirma el veredicto de Susan Sontag: ""el más influyente y admirado novelista en lengua española de su generación. Su muerte, a los cincuenta años, es una gran pérdida para la literatura"".</p>",4.21,19597.0,,
63,64,Fear and Loathing in Las Vegas,Hunter Thompson,Fic,November 2017,Fiction,204,8,9780679785897,7745.0,"<i>Fear and Loathing in Las Vegas</i> is the best chronicle of drug-soaked, addle-brained, rollicking good times ever committed to the printed page. It is also the tale of a long weekend road trip that has gone down in the annals of American pop culture as one of the strangest journeys ever undertaken.",4.08,275868.0,,
64,65,Cloud Atlas,David Mitchell,Fic,December 2017,Fiction,509,6,9780375507250,49628.0,"<p>A postmodern visionary who is also a master of styles of genres, David Mitchell combines flat-out adventure, a Nabokovian lore of puzzles, a keen eye for character, and a taste for mind-bending philosophical and scientific speculation in the tradition of Umberto Eco, Haruki Murakami, and Philip K. Dick. The result is brilliantly original fiction as profund as it is playful. Now in his new novel, David Mitchell explores with daring artistry fundamental questions of reality and identity.<br /><i>Cloud Atlas</i> begins in 1850 with Adam Ewing, an American notary voyaging from the Chatham Isles to his home in California. Along the way, Ewing is befriended by a physician, Dr. Goose, who begins to treat him for a rare species of brain parasite. . . .<br />Abruptly, the action jumps to Belgium in 1931, where Robert Frobisher, a disinherited bisexual composer, contrives his way into the household of an infirm maestro who has a beguiling wife and a nubile daughter. . . . From there we jump to the West Coast in the 1970s and a troubled reporter named Luisa Rey, who stumbles upon a web of corporate greed and murder that threatens to claim her life. . . . And onward, with dazzling virtuosity, to an inglorious present-day England; to a Korean superstate of the near future where neocapitalism has run amok; and, finally, to a postapocalyptic Iron Age Hawaii in the last days of history.<br />But the story doesn’t end even there. The narrative then boomerangs back through centuries and space, returning by the same route, in reverse, to its starting point. Along the way, Mitchell reveals how his disparate characters connect, how their fates intertwine, and how their souls drift across time like clouds across the sky.<br />As wild as a videogame, as mysterious as a Zen koan, <i>Cloud Atlas</i> is an unforgettable tour de force that, like its incomparable author, has transcended its cult classic status to become a worldwide phenomenon.</p>",4.02,179709.0,2004-08-17,
65,66,Ubik,Philip Dick,Fic,December 2017,Fiction,288,9,9788498000832,22590.0,"Glen Runciter está muerto. ¿O lo están todos los demás? Lo que es seguro es que alguien ha muerto en una explosión organizada por los competidores de Runciter. De hecho, sus empleados asisten a un funeral. Pero durante el duelo comienzan a recibir mensajes descorcentantes, e incluso morbosos, de su jefe. Y el mundo a su alrededor comienza a desmoronarse de un modo que sugiere que a ellos tampoco les queda mucho tiempo.<br /><br /> Esta mordaz comedia metafísica de muerte y salvación (que podrá llevar un cómodo envase) es un tour de force de amenaza paranoica y comedia absurda, en la cual los muertos ofrecen consejos comerciales, compran su siguiente reencarnación y corren el riesgo continuo de volver a morir.",4.09,64548.0,2006-05-01,
66,67,Theft By Finding,David Sedaris,Non,December 2017,Autobio/Memoir,514,8,9780316154727,32498038.0,"David Sedaris tells all in a book that is, literally, a lifetime in the making.<br /><br />For forty years, David Sedaris has kept a diary in which he records everything that captures his attention-overheard comments, salacious gossip, soap opera plot twists, secrets confided by total strangers. These observations are the source code for his finest work, and through them he has honed his cunning, surprising sentences.<br /><br />Now, Sedaris shares his private writings with the world. <i>Theft by Finding</i>, the first of two volumes, is the story of how a drug-abusing dropout with a weakness for the International House of Pancakes and a chronic inability to hold down a real job became one of the funniest people on the planet.<br /><br />Written with a sharp eye and ear for the bizarre, the beautiful, and the uncomfortable, and with a generosity of spirit that even a misanthropic sense of humor can't fully disguise, <i>Theft By Finding</i> proves that Sedaris is one of our great modern observers. It's a potent reminder that when you're as perceptive and curious as Sedaris, there's no such thing as a boring day.",3.93,19756.0,2017-05-30,
67,68,Tenth of December,George Saunders,Fic,December 2017,S.S./Poetry,251,10,9780812993806,13641208.0,"One of the most important and blazingly original writers of his generation, George Saunders is an undisputed master of the short story, and <i>Tenth of December</i> is his most honest, accessible, and moving collection yet.<br /><br />In the taut opening, ""Victory Lap,"" a boy witnesses the attempted abduction of the girl next door and is faced with a harrowing choice: Does he ignore what he sees, or override years of smothering advice from his parents and act? In ""Home,"" a combat-damaged soldier moves back in with his mother and struggles to reconcile the world he left with the one to which he has returned. And in the title story, a stunning meditation on imagination, memory, and loss, a middle-aged cancer patient walks into the woods to commit suicide, only to encounter a troubled young boy who, over the course of a fateful morning, gives the dying man a final chance to recall who he really is. A hapless, deluded owner of an antique store; two mothers struggling to do the right thing; a teenage girl whose idealism is challenged by a brutal brush with reality; a man tormented by a series of pharmaceutical experiments that force him to lust, to love, to kill—the unforgettable characters that populate the pages of <i>Tenth of December</i> are vividly and lovingly infused with Saunders' signature blend of exuberant prose, deep humanity, and stylistic innovation.<br /><br />Writing brilliantly and profoundly about class, sex, love, loss, work, despair, and war, Saunders cuts to the core of the contemporary experience. These stories take on the big questions and explore the fault lines of our own morality, delving into the questions of what makes us good and what makes us human.<br /><br />Unsettling, insightful, and hilarious, the stories in <i>Tenth of December</i>—through their manic energy, their focus on what is redeemable in human beings, and their generosity of spirit—not only entertain and delight; they fulfill Chekhov's dictum that art should ""prepare us for tenderness.""",3.97,49848.0,2013-01-08,
68,69,A Day in the Life of Ivan Denisovich,Alexander Solzhenistyn,Fic,December 2017,Fiction,182,6,9780374529529,17125.0,"<b>The only English translation authorized by Aleksandr Solzhenitsyn </b><br /><br />First published in the Soviet journal <i>Novy Mir</i> in 1962, <i>One Day in the Life of Ivan Denisovich</i> stands as a classic of contemporary literature. The story of labor-camp inmate Ivan Denisovich Shukhov, it graphically describes his struggle to maintain his dignity in the face of communist oppression. An unforgettable portrait of the entire world of Stalin's forced work camps, <i>One Day in the Life of Ivan Denisovich</i> is one of the most extraordinary literary documents to have emerged from the Soviet Union and confirms Solzhenitsyn's stature as ""a literary genius whose talent matches that of Dosotevsky, Turgenev, Tolstoy""--Harrison Salisbury<br /><br />This unexpurgated 1991 translation by H. T. Willetts is the only authorized edition available, and fully captures the power and beauty of the original Russian.",3.95,74470.0,2005-03-16,
69,70,The Math Behind…,Colin Beveridge,Non,December 2017,Science,187,7,,,,,,,
70,71,Brave New World,Aldous Huxley,Fic,January 2018,Fiction,288,10,9780060929879,5129.0,"Brave New World is a dystopian novel by English author Aldous Huxley, written in 1931 and published in 1932. Largely set in a futuristic World State, inhabited by genetically modified citizens and an intelligence-based social hierarchy, the novel anticipates huge scientific advancements in reproductive technology, sleep-learning, psychological manipulation and classical conditioning that are combined to make a dystopian society which is challenged by only a single individual: the story's protagonist.",3.99,1269331.0,1998-09-01,
71,72,Dispatches,Michael Herr,Non,January 2018,Politics,260,8,9780679735250,4339.0,"Written on the front lines in Vietnam, <i>Dispatches</i> became an immediate classic of war reportage when it was published in 1977.<br /><br />From its terrifying opening pages to its final eloquent words, <i>Dispatches</i> makes us see, in unforgettable and unflinching detail, the chaos and fervor of the war and the surreal insanity of life in that singular combat zone. Michael Herr’s unsparing, unorthodox retellings of the day-to-day events in Vietnam take on the force of poetry, rendering clarity from one of the most incomprehensible and nightmarish events of our time.<br /><br /><i>Dispatches</i> is among the most blistering and compassionate accounts of war in our literature.",4.23,13272.0,1991-08-06,
72,73,The Secret Life of the Periodic Table,Ben Still,Non,January 2018,Science,192,4,9781770858107,29598742.0,"<i>The Secret Life of the Periodic Table</i> uncovers the fascinating stories behind the formulation of the table. It describes how and who discovered the 118 elements, and the competition and cooperation behind scientific advances. The character of the elements is brought to life in a bright and engaging way, making <i>The Secret Life of the Periodic Table</i> ideal for students and general readers. Spared the monotony of a school text, they can gain a basic understanding of the fundamentals of atomic science.<br /><br />The book covers all 118 elements in 14 chapters. They are:<br /><br /><br /><br />A brief guide to atomic physics Igor Mendeleev, arguably the most important formulator of the table, and significant others Hydrogen Alkali metals Alkaline Earth metal Transition metals Post-transition metals Metalloids Other non-metals Halogens Noble gases Lanthanoids Actinoids Transuranium elements. Each element description includes a fact box showing atomic number, atomic weight, radius, melting point, boiling point, density, and the year of its discovery and by whom. There are many sidebars, boxes and extended captions covering topics of interest, like Ernest Lawrence's 1931 cyclotron, early precursor to the 10-km radius Large Hydron Collider that he could not possibly have imagined.<br /><br />There is also fascinating trivia about the elements. For example, phosphorus was first isolated by an alchemist's search for gold in urine and in the 1920s, there was a fad for lethal radium cocktails.<br /><br /><i>The Secret Life of the Periodic Table</i> is accurate and entertaining, making it a helpful adjunct to student studies. General readers will find it an enjoyable trip into the world of chemistry and atomic science. It is an ideal purchase for science, middle school and general collections.",3.81,31.0,2016-09-27,
73,74,No Country For Old Men,Cormac McCarthy,Fic,January 2018,Fiction,309,9,9780375706677,12497.0,"In his blistering new novel, Cormac McCarthy returns to the Texas-Mexico border, the setting of his famed <i>Border Trilogy</i>. The time is our own, when rustlers have given way to drug-runners and small towns have become free-fire zones. <br /><br />One day, Llewellyn Moss finds a pickup truck surrounded by a bodyguard of dead men. A load of heroin and two million dollars in cash are still in the back. When Moss takes the money, he sets off a chain reaction of catastrophic violence that not even the law–in the person of aging, disillusioned Sheriff Bell–can contain.<br /><br />As Moss tries to evade his pursuers–in particular a mysterious mastermind who flips coins for human lives–McCarthy simultaneously strips down the American crime novel and broadens its concerns to encompass themes as ancient as the Bible and as bloodily contemporary as this morning’s headlines. <br /><i>No Country for Old Men</i> is a triumph.",4.14,122030.0,2006-07-11,
74,75,Rules For A Knight,Ethan Hawke,Fic,January 2018,Fiction,175,8,9780307962331,25241473.0,"From Ethan Hawke, four-time Academy Award nominee—twice for writing and twice for acting—an unforgettable fable about a father's journey and a timeless guide to life's many questions. <br /><br />A knight, fearing he may not return from battle, writes a letter to his children in an attempt to leave a record of all he knows. In a series of ruminations on solitude, humility, forgiveness, honesty, courage, grace, pride, and patience, he draws on the ancient teachings of Eastern and Western philosophy, and on the great spiritual and political writings of our time. His intent: to give his children a compass for a journey they will have to make alone, a short guide to what gives life meaning and beauty. <br /><br />",4.12,2420.0,2015-11-10,
75,76,The Plague,Albert Camus,Fic,January 2018,Fiction,320,6,9780679720218,43497263.0,"A gripping tale of human unrelieved horror, of survival and resilience, and of the ways in which humankind confronts death, <i>The Plague</i> is at once a masterfully crafted novel, eloquently understated and epic in scope, and a parable of ageless moral resonance, profoundly relevant to our times. In Oran, a coastal town in North Africa, the plague begins as a series of portents, unheeded by the people. It gradually becomes an omnipresent reality, obliterating all traces of the past and driving its victims to almost unearthly extremes of suffering, madness, and compassion.",3.99,192.0,1991-05-07,
76,77,But What If We're Wrong?,Chuck Klosterman,Non,February 2018,Society,262,7,9780399184123,27068734.0,"We live in a culture of casual certitude. This has always been the case, no matter how often that certainty has failed. Though no generation believes there’s nothing left to learn, every generation unconsciously assumes that what has already been defined and accepted is (probably) pretty close to how reality will be viewed in perpetuity. And then, of course, time passes. Ideas shift. Opinions invert. What once seemed reasonable eventually becomes absurd, replaced by modern perspectives that feel even more irrefutable and secure—until, of course, they don’t.<br /><br /><i>But What If We’re Wrong?</i> visualizes the contemporary world as it will appear to those who'll perceive it as the distant past. Chuck Klosterman asks questions that are profound in their simplicity: How certain are we about our understanding of gravity? How certain are we about our understanding of time? What will be the defining memory of rock music, five hundred years from today? How seriously should we view the content of our dreams? How seriously should we view the content of television? Are all sports destined for extinction? Is it possible that the greatest artist of our era is currently unknown (or—weirder still—widely known, but entirely disrespected)? Is it possible that we “overrate” democracy? And perhaps most disturbing, is it possible that we’ve reached the end of knowledge?<br /><br />Kinetically slingshotting through a broad spectrum of objective and subjective problems, <i>But What If We’re Wrong?</i> is built on interviews with a variety of creative thinkers—George Saunders, David Byrne, Jonathan Lethem, Kathryn Schulz, Neil deGrasse Tyson, Brian Greene, Junot Díaz, Amanda Petrusich, Ryan Adams, Nick Bostrom, Dan Carlin, and Richard Linklater, among others—interwoven with the type of high-wire humor and nontraditional analysis only Klosterman would dare to attempt. It’s a seemingly impossible achievement: a book about the things we cannot know, explained as if we did. It’s about how we live now, once “now” has become “then.”",3.62,12028.0,2016-06-07,
77,78,Blood Meridian,Cormac McCarthy,Fic,February 2018,Fiction,351,6,9780679641049,28715.0,"An epic novel of the violence and depravity that attended America's westward expansion, <b>Blood Meridian</b> brilliantly subverts the conventions of the Western novel and the mythology of the ""wild west."" Based on historical events that took place on the Texas-Mexico border in the 1850s, it traces the fortunes of the Kid, a fourteen-year-old Tennesseean who stumbles into the nightmarish world where Indians are being murdered and the market for their scalps is thriving.",4.17,1281.0,2001-01-02,
78,79,Columbine,Dave Cullen,Non,February 2018,Society,417,8,9780446546935,5632446.0,"""The tragedies keep coming. As we reel from the latest horror . . . "" So begins a new epilogue, illustrating how Columbine became the template for nearly two decades of ""spectacle murders."" It is a false script, seized upon by a generation of new killers. In the wake of Newtown, Aurora, and Virginia Tech, the imperative to understand the crime that sparked this plague grows more urgent every year.<br /><br />What really happened April 20, 1999? The horror left an indelible stamp on the American psyche, but most of what we ""know"" is wrong. It wasn't about jocks, Goths, or the Trench Coat Mafia. Dave Cullen was one of the first reporters on scene, and spent ten years on this book-widely recognized as the definitive account. With a keen investigative eye and psychological acumen, he draws on mountains of evidence, insight from the world's leading forensic psychologists, and the killers' own words and drawings-several reproduced in a new appendix. Cullen paints raw portraits of two polar opposite killers. They contrast starkly with the flashes of resilience and redemption among the survivors.",4.29,59247.0,2009-04-06,
79,80,The Executioner's Song,Norman Mailer,Non,February 2018,Society,1056,10,9780375700811,12468.0,"In what is arguably his greatest work, America's most heroically ambitious writer follows the short, blighted career of Gary Gilmore, an intractably violent product of America's prisons who became notorious for two reasons: first, for robbing two men in 1976, then killing them in cold blood; and, second, after being tried and convicted, for insisting on dying for his crime. To do so, he had to fight a system that seemed paradoxically intent on keeping him alive long after it had sentenced him to death.<p>Norman Mailer tells Gilmore's story--and those of the men and women caught up in his procession toward the firing squad--with implacable authority, steely compassion, and a restraint that evokes the parched landscapes and stern theology of Gilmore's Utah. <b>The Executioner's Song</b> is a trip down the wrong side of the tracks to the deepest sources of American loneliness and violence. It is a towering achievement--impossible to put down, impossible to forget.<br /><br />Winner of the 1980 Pulitzer Prize</p>",4.06,15803.0,1998-04-28,
80,81,The Water Will Come,Jeff Goodell,Non,February 2018,Science,352,4,9780316260244,34523152.0,"What if Atlantis wasn't a myth but an early precursor to a new age of great flooding? Across the globe, scientists and civilians alike are noticing rapidly rising sea levels and higher and higher tides pushing more water directly into the places we live, from our most vibrant, historic cities to our last remaining traditional coastal villages. With each crack in the great ice sheets of the Arctic and Antarctica, and each tick upwards of Earth's thermometer, we are moving closer to the brink of broad disaster.<br /><br />By century's end, hundreds of millions of people will be retreating from the world's shores as our coasts become inundated and our landscapes transformed. From island nations to the world's major cities, coastal regions will disappear. Engineering projects to hold back the water are bold and may buy some time. Yet despite international efforts and tireless research, there is no permanent solution--no barriers to erect or walls to build--that will protect us in the end from the drowning of the world as we know it.<br /><br /><i>The Water Will Come</i> is the definitive account of the coming water, why and how this will happen, and what it will all mean. As he travels across twelve countries and reports from the front lines, acclaimed journalist Jeff Goodell employs fact, science, and first-person, on-the-ground journalism to show vivid scenes from what already is becoming a water world.",4.2,1967.0,2017-10-24,
81,82,The Glass Castle,Jeannette Walls,Non,March 2018,Autobio/Memoir,288,9,9780743247542,7445.0,"A tender, moving tale of unconditional love in a family that, despite its profound flaws, gave the author the fiery determination to carve out a successful life on her own terms.<br /><br />Jeannette Walls grew up with parents whose ideals and stubborn nonconformity were both their curse and their salvation. Rex and Rose Mary Walls had four children. In the beginning, they lived like nomads, moving among Southwest desert towns, camping in the mountains. Rex was a charismatic, brilliant man who, when sober, captured his children's imagination, teaching them physics, geology, and above all, how to embrace life fearlessly. Rose Mary, who painted and wrote and couldn't stand the responsibility of providing for her family, called herself an ""excitement addict."" Cooking a meal that would be consumed in fifteen minutes had no appeal when she could make a painting that might last forever. <br /><br />Later, when the money ran out, or the romance of the wandering life faded, the Walls retreated to the dismal West Virginia mining town -- and the family -- Rex Walls had done everything he could to escape. He drank. He stole the grocery money and disappeared for days. As the dysfunction of the family escalated, Jeannette and her brother and sisters had to fend for themselves, supporting one another as they weathered their parents' betrayals and, finally, found the resources and will to leave home. <br /><br />What is so astonishing about Jeannette Walls is not just that she had the guts and tenacity and intelligence to get out, but that she describes her parents with such deep affection and generosity. Hers is a story of triumph against all odds, but also a tender, moving tale of unconditional love in a family that despite its profound flaws gave her the fiery determination to carve out a successful life on her own terms. <br /><br />For two decades, Jeannette Walls hid her roots. Now she tells her own story.",4.27,824413.0,2006-01-17,
